songID,num_Q1,num_Q2,num_Q3,num_Q4,DominantQ,,
e8NQ2NH0nc8,2,0,0,0,1,2,
HQ8ISDX6PiI,0,0,0,2,4,2,
ZTrEoB8T9YA,0,3,0,0,2,3,
3N2G21U7guk,3,0,0,4,4,7,
_8v0MFBZoco,2,0,0,0,1,2,
WpZ1rWHOCAQ,3,0,0,0,1,3,
iwxwLEvqeD8,0,1,1,0,2,2,
f2b4kpdw7_c,0,0,0,2,4,2,
g-yM0Lsp4lc,0,0,2,0,3,2,
KRlAez34QfE,0,0,0,3,4,3,
SQDuF0qxGQw,3,0,0,0,1,3,
ldCQ6N9G6Mk,1,0,3,3,3,7,
x5ibvz38jOs,0,2,0,0,2,2,
Tc684nD8CEA,0,0,0,5,4,5,
0lEL_XHyhuU,0,0,4,0,3,4,
77z6Ep3aOmg,0,0,2,0,3,2,
0J7lX-Tcx-w,0,3,0,0,2,3,
GAvPwG2wYZM,0,0,0,2,4,2,
#NAME?,0,0,0,3,4,3,
snfsc7pEzlk,0,3,0,0,2,3,
7gifuoofgpk,0,0,0,2,4,2,
5J_zI7QE9W8,0,0,0,3,4,3,
yFw_kO7DF-Y,3,0,0,0,1,3,
IH2KrGjKXw0,1,0,3,0,3,4,
7yW9c7t8Hq0,3,0,0,1,1,4,
nGkpcWNAxDU,0,0,0,3,4,3,
ItGNJM6skM4,0,2,1,0,2,3,
6wFJhmhNeeg,1,0,0,0,1,1,
V3Y9L4UOcpk,1,0,0,2,4,3,
TonQX8XbvX8,0,0,4,0,3,4,
bbU31JLtlug,0,0,2,0,3,2,
UuLTvhERcnk,0,0,2,0,3,2,
7JIdJLkJ0S4,0,0,4,0,3,4,
FH28sPhm9Dc,0,0,2,0,3,2,
r_sD61KeUQU,0,0,0,1,4,1,
DvIH5yUrboc,0,0,0,3,4,3,
_S991V8N-8s,0,1,1,0,2,2,
CkjAksZstEA,0,0,0,2,4,2,
3ahg_eQZhxs,2,0,0,0,1,2,
1kny88W533Q,0,4,1,0,2,5,
lQCrA2TE-fo,0,0,0,2,4,2,
epX33OVpkmA,0,3,0,0,2,3,
k4lT-sXg3iI,0,3,0,0,2,3,
TOXg4-ZGb-g,0,0,0,3,4,3,
a5QCcwEjxAk,0,0,0,2,4,2,
cB-Xh8H_7-Q,1,0,0,0,1,1,
0qYNvMCEwaw,0,1,0,0,2,1,
9Yb9OEVwups,1,0,0,0,1,1,
rW1I58_lMEg,0,0,0,4,4,4,
bIx4DwkZxFY,3,0,0,0,1,3,
sA9ac1rod84,0,0,0,2,4,2,
3ZnxqCZ7qGg,0,2,1,0,2,3,
kMHiU0fhWVw,0,0,0,4,4,4,
FoTXpYZXxJs,0,0,0,2,4,2,
vBHoSz8cJIE,0,0,0,5,4,5,
BzqX-9TA-GY,0,2,1,0,2,3,
kfYaGryaGzI,0,0,0,2,4,2,
FyK_c-TIcCA,0,0,0,3,4,3,
sZe3IB1OVfw,2,0,0,0,1,2,
p2qihp_PnLY,0,0,2,0,3,2,
Xlv4PPGrRRs,0,0,0,2,4,2,
eGQUZ9FlUJ4,0,2,0,0,2,2,
PdwxeMPXOCk,3,0,0,0,1,3,
pNwQ9Tu_bCs,3,0,0,0,1,3,
ANZf1QXsNrY,6,2,0,0,1,8,
BaHHHgDd0BU,0,0,0,2,4,2,
6oLmO9ZSJt0,0,0,0,2,4,2,
kKFwiXKlhC8,0,2,0,0,2,2,
epMOLn5Axw0,0,0,1,0,3,1,
fey-8bOR95E,4,0,0,0,1,4,
Jn9r0avp0fY,4,0,0,0,1,4,
1Qc15G0ZHIg,3,0,0,1,1,4,
AjN_5CdVUdw,0,0,0,1,4,1,
Wy2-my19YnY,2,0,0,0,1,2,
XfA2KXodrOE,0,2,0,0,2,2,
aYe-2Glruu4,4,1,0,0,1,5,
sUJ4a74Skk8,1,0,0,0,1,1,
5NW0zDu6IYM,1,2,0,0,2,3,
QmK_SND2jAw,0,2,0,0,2,2,
FUAK5TBaNY8,0,1,3,0,3,4,
I2MrA-o5H8I,0,0,0,3,4,3,
wnB2cjd6zbE,1,0,0,0,1,1,
TYkTOwBfFB8,0,0,2,0,3,2,
qlbazHayULg,1,10,3,0,2,14,
Fc1qk52SaKY,2,0,0,0,1,2,
Uu-oRTRT6uQ,0,3,0,0,2,3,
jO2zX6Ul8GM,0,2,0,1,2,3,
pRuwHN-lI44,0,0,0,4,4,4,
AacIP9mDLw8,0,2,1,0,2,3,
iRu9KQvbtVw,0,0,1,0,3,1,
2Z9SjI131jA,14,0,0,2,1,16,
ezoAduuCkUs,0,1,0,0,2,1,
iGHgeUCPotc,0,0,0,1,4,1,
UTo7E0evQWw,0,1,0,0,2,1,
2v6gJi03LlA,0,0,2,0,3,2,
wqc8iqbDsGM,0,0,5,0,3,5,
Ury1cdB79s0,0,0,0,2,4,2,
vv6nrZ2myXw,5,0,0,0,1,5,
YhXRyOl5pi0,0,0,0,1,4,1,
1A9Hh2GrDTs,0,0,0,1,4,1,
yC0fAQxGgr0,0,0,0,2,4,2,
XC_SiJszQx0,1,1,0,2,4,4,
x4B0raxVODA,0,0,4,0,3,4,
QBJ6YYYpIyk,0,0,0,1,4,1,
uUtnyA6tLnI,0,0,0,1,4,1,
G4rL_OtfFAU,0,0,2,0,3,2,
12tDlCQVRtA,0,0,0,3,4,3,
5DqIntcmdRI,0,0,0,2,4,2,
8izVTDgBQPc,2,0,0,0,1,2,
veG92Oi-DlU,0,0,3,0,3,3,
cQp1BYDGcRo,0,2,0,0,2,2,
X1p8xcarVu0,0,0,4,0,3,4,
HY9vPoHbgaI,4,0,0,0,1,4,
xrhWli_R98g,2,0,0,2,1,4,
ltxNPJda7zE,0,0,1,4,4,5,
By3JCii1k3w,0,0,3,0,3,3,
pzeHffxmdcE,0,0,0,1,4,1,
9Xg69XrVaYU,0,0,3,0,3,3,
1EDThWjNxOI,0,2,0,0,2,2,
NzJjMGJg1wE,0,0,0,1,4,1,
YAAxPW1GB7w,0,0,0,2,4,2,
1cgO42sh-ZY,0,0,1,0,3,1,
eVMSeElk81Q,3,0,0,0,1,3,
vJ77eDxHezE,0,0,0,2,4,2,
78C_TpQDvVE,0,2,0,0,2,2,
D5kyjnlDNZs,0,3,0,0,2,3,
PXOWy7NiZhk,0,0,2,0,3,2,
jziI_cuN_H8,3,0,0,0,1,3,
gSwv8hZGM-s,2,0,0,0,1,2,
fOYX0uH8mSQ,0,0,0,1,4,1,
JMt4m608s3k,0,3,0,0,2,3,
Q49PWE0RJLY,0,0,0,2,4,2,
Xsn9zT-05ns,2,0,0,0,1,2,
QJlnTN7HRwE,0,0,4,0,3,4,
S7Bo4-NCEDk,0,3,0,0,2,3,
b8HVQtIoBYU,0,2,0,0,2,2,
hoPp_GLXQis,0,0,0,2,4,2,
2uLw9Zs60A4,0,1,0,0,2,1,
0v2N1ROvEI0,0,2,0,0,2,2,
_BK2o77sTc0,2,0,0,1,1,3,
0wRQRwnQiqY,0,0,1,0,3,1,
4ydjOX3pWds,2,0,0,0,1,2,
lTxVVdhFE6Q,0,0,0,2,4,2,
5CEAeMiXKaA,0,1,0,0,2,1,
MT2_mXn-vGU,0,0,0,3,4,3,
zvWX_dwQPtU,0,0,3,0,3,3,
3As1t6JySDE,0,0,0,1,4,1,
ZvD8QSO7NPw,0,0,3,0,3,3,
VCSDjQxAJzc,0,0,0,3,4,3,
xYZ8n8ULaNo,0,0,2,0,3,2,
6Uf9XBUD3wE,2,0,0,0,1,2,
8rupdevqfuI,3,0,0,0,1,3,
MbvPxCUMSek,0,0,3,0,3,3,
dCoUuknChhE,0,0,1,0,3,1,
JxSU49jFKwM,0,0,0,2,4,2,
2w5XkAt_3WU,0,0,0,1,4,1,
1fdxsFbnsX4,0,0,0,2,4,2,
mX-xs3OVhTs,2,0,0,0,1,2,
9eMxCs-LXCE,0,0,0,3,4,3,
lFznCt5kvXM,0,1,0,0,2,1,
nBao46YGZDg,0,0,1,0,3,1,
yZGBxiNPu3k,0,1,2,0,3,3,
cCfEDTkuMvg,0,0,1,0,3,1,
biROWEwkDQQ,1,0,0,3,4,4,
Q5b5unyP8BM,0,2,0,0,2,2,
v3Nl5rUxLqE,0,0,0,2,4,2,
xgtwQGeB6_0,0,0,0,1,4,1,
g15aRCHUJEI,0,0,0,3,4,3,
UAm0aWvzFI8,0,2,0,0,2,2,
60LLKmpgzRM,1,0,0,0,1,1,
e838BE_MH6s,4,0,0,1,1,5,
jrVXitpLGMk,0,3,0,0,2,3,
rDhbGjFlKF8,0,0,0,2,4,2,
uqRLEByE6pU,3,0,0,0,1,3,
prUUays30Mg,0,0,0,2,4,2,
PK8YIUaV3Xw,0,0,0,2,4,2,
_SJQaaRzD-A,2,0,0,0,1,2,
gvWDOIiocuE,0,1,2,0,3,3,
4Er-eFHSHA4,0,0,4,0,3,4,
8TYY0qG-KOw,0,1,0,1,2,2,
7n32BtYb4d4,0,4,0,0,2,4,
9v2WSpn4FCw,6,8,0,1,2,15,
DhnX54kOW8U,0,1,0,0,2,1,
BIRDDxz0E4c,0,0,1,1,3,2,
_vZOEQCYSaY,0,1,2,0,3,3,
1TAKQK3s6qQ,0,1,0,0,2,1,
gwmVjvR-sVs,2,0,0,1,1,3,
q4T8Znozvkk,0,0,0,1,4,1,
Oku8sIpTMAE,0,0,5,0,3,5,
RiQMuhk_SuQ,0,3,1,0,2,4,
s6-SbDSZzEU,2,0,0,0,1,2,
KxlqB3j0zys,2,0,0,3,4,5,
VXh4IaR5C6s,0,0,0,1,4,1,
u_7b9CwyM8Q,0,0,0,2,4,2,
tfuul78deOs,0,0,2,0,3,2,
jSWItJI-Gmk,0,0,0,2,4,2,
FSzOgraSKhs,0,0,0,2,4,2,
TNoaOTrTkTQ,3,0,0,0,1,3,
yrvKReuwVlY,0,4,0,0,2,4,
jCLgDtk695I,0,0,0,5,4,5,
s5b8viFsVJE,3,0,0,0,1,3,
Gcbk0GPT3-g,0,0,0,2,4,2,
DYBBfpEx-JI,0,4,1,0,2,5,
ZgT7yq2jsBk,1,0,0,0,1,1,
OO7zYVeK814,0,0,3,0,3,3,
osxmQReE_2o,1,0,0,0,1,1,
iHPKusssXzk,0,0,0,3,4,3,
RL_cmmNVLfs,0,0,1,0,3,1,
V_jbWvQNh5c,0,0,0,2,4,2,
UE0y8MHqT-g,0,2,1,0,2,3,v
ufRISSD28XA,0,2,0,0,2,2,
cXxGBDgFCs8,0,0,0,3,4,3,
k6aLLVX1D7Y,0,0,0,3,4,3,
tw_lArYiHTo,0,0,1,0,3,1,
wlOa1jkTn_U,0,0,3,0,3,3,
2eIsQtm4YNs,0,0,2,0,3,2,
mGYKWCVnMwQ,0,0,0,2,4,2,
UOSlDydo94E,3,0,0,0,1,3,
nOIBJHkqrE8,1,1,0,0,1,2,
uj3Gif77SYM,0,0,9,0,3,9,
yhIncZ_Ue4E,0,3,0,0,2,3,
FOcdHIhI0_s,0,0,2,0,3,2,
Ie5koh4qvJc,2,7,14,10,3,33,
fShAWhXIits,0,0,0,2,4,2,
D-gDPh9ZpFk,0,3,0,0,2,3,
iFgSjUqI7iM,2,0,0,0,1,2,
NTI9ode6bRk,0,0,2,0,3,2,
S1T3UF1vhSk,0,2,1,0,2,3,
K6OFDxBU370,2,0,0,0,1,2,
zHwJG8Rrx6c,4,0,0,0,1,4,
UbKAl4roB8k,0,0,0,3,4,3,
xIsvaT20pZ0,0,0,2,0,3,2,
ijfxkQPAQdE,0,2,1,0,2,3,
VXgRfsVd_o0,3,0,0,0,1,3,
6kRPHamGDSo,3,0,0,1,1,4,
z5ewpQwGDNw,0,3,0,0,2,3,
miqLU2739dk,1,1,0,0,1,2,
Cg2u_Ldjv8g,2,0,0,0,1,2,
K84TcgjCRt4,0,0,3,0,3,3,
k-FNDbK6Qhg,0,2,0,1,2,3,
im4Qxn3GQvo,3,0,0,0,1,3,
nFunbdBrukY,0,0,1,0,3,1,
ZdyiXIlKe_Y,0,2,0,0,2,2,
48EYLEAgaBc,0,2,0,0,2,2,
jTPXwbDtIpA,0,2,1,0,2,3,
NP0lwB-_-og,1,0,0,1,1,2,
c6CwY8Gbw0c,0,0,5,0,3,5,
3TYeU9idRGI,0,0,0,2,4,2,
iXiSFSGws-c,0,0,0,3,4,3,
wzSr6qR3Ra0,0,0,0,1,4,1,
Xf2fox7zhCQ,0,0,0,3,4,3,
o20YCzej5_s,0,1,0,0,2,1,
doM_LWo-74A,5,0,0,0,1,5,
UaYYMRkHMYc,0,0,0,3,4,3,
1Q3MoBFh6eU,0,1,2,0,3,3,
jIKX3ShvLxo,0,3,0,0,2,3,
r6laJv1-HMg,1,0,0,0,1,1,
Iq6g_4AwUWs,0,2,0,0,2,2,
22S3w4idugs,0,0,0,1,4,1,
Dg935IbDggo,0,4,0,0,2,4,
ISCVfmBvYoM,0,0,1,0,3,1,
5Ju9q1N2x0E,1,0,0,2,4,3,
f0NbGeyJYms,0,0,1,0,3,1,
0H4rq0L9OSw,0,2,0,0,2,2,
JYVXM0qNQAg,2,1,0,0,1,3,
nBIls0laAAU,0,0,3,0,3,3,
170KC2CbJ7Y,0,0,0,2,4,2,
Dw7M69CidJ8,0,0,0,4,4,4,
6n8HgIcJ6vo,0,1,0,0,2,1,
kDGmND1BgmA,0,0,2,0,3,2,
bQS8eAXAhyE,3,0,0,0,1,3,
ii1Jw1-7Ka4,0,0,3,0,3,3,
OgkB7PfqWzA,0,0,0,2,4,2,
l-4Kce3YxxQ,0,5,0,0,2,5,
DX1IK3z1w10,1,0,0,1,1,2,
POaIGvLsp5M,2,0,0,0,1,2,
heBmBQDWj-M,0,0,0,3,4,3,
v2an-9szi8M,0,0,1,0,3,1,
vVTP0DOL_2Q,0,0,4,0,3,4,
RaUSISlnhKw,3,0,0,0,1,3,
0c2dTJTDUR4,0,0,1,1,3,2,
UJcnNfeCN1c,2,1,1,0,1,4,
OCqMDeD6Fmc,0,4,0,0,2,4,
_FVzelKlBFs,0,3,0,0,2,3,
CxFXrYgdSSI,0,3,0,0,2,3,
16OaOpfOPZ0,0,2,2,0,2,4,
j8Ir-ssM-AA,0,0,0,2,4,2,
PLfFWFZflQU,0,0,2,0,3,2,
f2BXXa7lPuE,0,4,0,0,2,4,
H6_7DjsbROQ,0,0,5,0,3,5,
lvfNo4KOTmM,0,0,0,2,4,2,
rrD7XMtPs0Q,0,0,1,0,3,1,
FfwKrQyQ7WU,4,0,0,0,1,4,
08t73Qgjkt4,0,3,0,0,2,3,
JT1XJnVmABo,4,1,1,3,1,9,
IgpNyJVWcBo,0,0,0,1,4,1,
wfXSdMsd4q8,0,1,5,0,3,6,
zMa78n8ULtE,0,0,2,0,3,2,
k4dxAlI5N-k,2,0,0,0,1,2,
JP3QKZlyQz4,0,0,0,3,4,3,
E6MARl3zjnQ,0,0,0,1,4,1,
61EA0xRX8gE,0,5,0,1,2,6,
wxXpvnmq_-E,0,0,3,0,3,3,
0EWWyyV7RJA,0,0,1,0,3,1,
E5qEloUO3SM,0,0,1,1,3,2,
4dXC1cC7crw,2,0,0,0,1,2,
0vLPYiPN7qY,3,0,1,0,1,4,
B3aRl8iTEKw,0,0,0,2,4,2,
cFWdWpyvwag,0,2,0,0,2,2,
94ROf10d1iA,4,0,0,0,1,4,
lalnGhxT3PQ,0,2,0,0,2,2,
--2B4d4lQhs,0,3,0,1,2,4,
8c7kcmsnf-s,0,3,0,0,2,3,
OUb9uaOlWAM,0,0,0,1,4,1,
TcFVq0leii4,0,2,0,1,2,3,
P-We4q3goKU,0,6,1,0,2,7,
XPLYvpyfKUM,0,0,0,2,4,2,
egYSmNuIFGk,0,0,2,1,3,3,
NGE9ynTJABg,3,0,0,0,1,3,
Y1F0c3zgMJo,0,0,0,2,4,2,
OoxI6k0Qsno,0,0,0,2,4,2,
HYVmgq5Y93g,0,0,0,3,4,3,
UpHutdJvZMI,0,0,0,3,4,3,
BGf5nCdzPOc,2,0,0,0,1,2,
3_MxhSS86oU,0,2,0,0,2,2,
REq37pDAm3A,0,1,4,0,3,5,
tLmXAWfbGqs,0,0,1,0,3,1,
Adil-zpJdEs,0,0,1,0,3,1,
38i12IPkL5c,0,3,0,0,2,3,
Kk60F8a7-Jw,0,1,0,0,2,1,
SlsXsqotUis,1,0,0,0,1,1,
kopwU6zpS4k,0,0,1,0,3,1,
02t1bj7ZABY,0,0,3,0,3,3,
bfopzItCYrE,0,1,1,1,2,3,
sEQf5lcnj_o,0,4,0,0,2,4,
d_49EtXDMFE,0,0,0,3,4,3,
GbUV3TXUzeQ,2,0,0,1,1,3,
PZN7XLKzLDI,0,1,0,1,2,2,
QwsQ8ejbMKg,2,0,0,0,1,2,
oTi57hZfArE,0,0,0,3,4,3,
ADJ_PDauy-g,0,0,0,3,4,3,
J6X3rVU1H-c,2,0,0,1,1,3,
qRceKZtwRWA,0,0,1,1,3,2,
GwdQliEv6Z0,0,2,0,0,2,2,
cm6E860vDjY,0,3,0,0,2,3,
mlHheZbblT0,0,2,0,0,2,2,
JNzqL24ZcZ8,0,0,3,0,3,3,
AWNbcxXDmt0,0,1,0,0,2,1,
EtAbPc20mn8,0,1,0,0,2,1,
vpTguZtJAFA,0,0,0,3,4,3,
D3onzY4MNxE,0,0,2,0,3,2,
pouxqiySdI8,0,2,0,0,2,2,
UYh88SRZC24,2,0,0,0,1,2,
Hwd6l9jK7bo,0,0,0,2,4,2,
L3_TadjSQQ0,0,2,0,0,2,2,
fuCxYrru2S4,0,2,1,0,2,3,
WQrPcuy50aA,0,2,0,0,2,2,
1vjy9oMFa8c,3,0,0,3,1,6,
VrWAZLRdQO8,0,0,2,0,3,2,
o5AIp2Yc01M,2,0,0,0,1,2,
OyaY4213c2A,0,0,0,2,4,2,
zmZHNy9T8Pg,3,0,0,0,1,3,
XWk5XUEBXmg,0,0,0,2,4,2,
GY3f6ckBVkA,4,0,0,0,1,4,
rEz0D3VohFA,0,2,1,0,2,3,
WBxql6cuU7c,0,1,0,0,2,1,
fnqb8zqHqdY,0,0,3,0,3,3,
T92R7xjce34,1,0,0,1,1,2,
ilCcZpD39HU,0,0,5,0,3,5,
aQ4PIaRMLwE,0,0,0,3,4,3,
#NAME?,0,2,0,0,2,2,
#NAME?,0,0,2,0,3,2,
dfNdpy8TUzA,3,0,0,0,1,3,
pbVGv_g4n50,0,0,1,0,3,1,
ivCNV47tsRw,0,4,0,0,2,4,
ltNK_MY1HkM,0,0,0,3,4,3,
pkz8OkWhwnk,0,0,0,2,4,2,
Cir1kZyB7QM,0,0,0,2,4,2,
zjr_-ql5Avk,0,0,3,0,3,3,
gxsdWKc1QaM,0,0,0,1,4,1,
jNzZCplNNyY,0,0,0,2,4,2,
Y5JcZQ0xg4Y,4,0,0,0,1,4,
D8Ed5PZXfF4,0,0,1,0,3,1,
Tjno89OVuRI,0,0,0,2,4,2,
dtS02mrDMsM,0,5,0,0,2,5,
_kJtgm1OUNA,3,0,0,0,1,3,
wS0RzrBL9UI,0,0,3,0,3,3,